HH MM       Wp      kak      lrm      wmq      izn      fur      ebr      tdc      sjg      tuc      hon      cnb   n
03 23    0.189    0.088    0.194  999.000    0.114    0.152    0.088    0.087    0.228    0.354    0.090    0.139   4
03 24    0.214    0.121    0.165  999.000    0.168    0.195    0.171    0.131    0.179    0.373    0.108    0.229   4
03 25    0.214    0.151    0.161  999.000    0.140    0.193    0.208    0.146    0.171    0.332    0.087    0.245   4
03 26    0.165    0.199    0.217  999.000    0.101    0.185    0.154    0.104    0.126    0.275    0.101    0.219   4
03 27    0.147    0.096    0.127  999.000    0.119    0.178    0.101    0.052    0.128    0.306    0.071    0.195   4
03 28    0.163    0.088    0.102  999.000    0.117    0.139    0.077    0.047    0.139    0.389    0.094    0.166   4
03 29    0.133    0.054    0.147  999.000    0.086    0.062    0.074    0.033    0.116    0.308    0.095    0.145   4
03 30    0.128    0.047    0.158  999.000    0.108    0.072    0.136    0.055    0.078    0.242    0.079    0.147   4
03 31    0.095    0.040    0.124  999.000    0.071    0.066    0.071    0.040    0.069    0.201    0.050    0.165   4
03 32    0.088    0.048    0.146  999.000    0.109    0.103    0.054    0.049    0.073    0.176    0.040    0.140   4
03 33    0.123    0.095    0.115  999.000    0.098    0.099    0.074    0.057    0.106    0.205    0.080    0.092   3
03 34    0.174    0.160    0.134  999.000    0.153    0.095    0.051    0.073    0.147    0.303    0.093    0.197   3
03 35    0.151    0.098    0.152  999.000    0.138    0.121    0.063    0.081    0.113    0.257    0.071    0.095   3
03 36    0.113    0.033    0.106  999.000    0.049    0.067    0.067    0.073    0.053    0.213    0.060    0.171   3
03 37    0.072    0.064    0.128  999.000    0.047    0.155    0.083    0.066    0.037    0.112    0.037    0.257   3
03 38    0.099    0.074    0.081  999.000    0.084    0.209    0.055    0.049    0.087    0.160    0.036    0.224   3
03 39    0.111    0.082    0.114  999.000    0.106    0.213    0.064    0.046    0.090    0.196    0.066    0.152   3
03 40    0.125    0.103    0.133  999.000    0.126    0.218    0.088    0.044    0.106    0.224    0.062    0.149   3
03 41    0.100    0.086    0.191  999.000    0.110    0.170    0.106    0.041    0.094    0.165    0.074    0.207   3
03 42    0.076    0.068    0.229  999.000    0.049    0.079    0.096    0.039    0.041    0.149    0.059    0.148   3
03 43    0.071    0.092    0.160  999.000    0.053    0.149    0.086    0.074    0.037    0.102    0.062    0.153   3
03 44    0.078    0.179    0.225  999.000    0.084    0.147    0.076    0.054    0.046    0.134    0.072    0.175   3
03 45    0.090    0.121    0.274  999.000    0.077    0.151    0.083    0.052    0.052    0.166    0.069    0.219   3
03 46    0.073    0.076    0.158  999.000    0.090    0.112    0.087    0.045    0.059    0.113    0.046    0.157   3
03 47    0.094    0.100    0.098  999.000    0.093    0.115    0.094    0.051    0.069    0.164    0.052    0.245   3
03 48    0.112    0.114    0.154  999.000    0.108    0.145    0.074    0.053    0.080    0.204    0.040    0.176   3
03 49    0.076    0.140    0.199  999.000    0.100    0.179    0.080    0.050    0.051    0.128    0.040    0.111   3
03 50    0.085    0.095    0.158  999.000    0.085    0.171    0.090    0.038    0.068    0.148    0.063    0.109   3
03 51    0.083    0.230    0.170  999.000    0.171    0.248    0.098    0.049    0.053    0.148    0.099    0.198   3
03 52    0.109    0.215    0.190  999.000    0.209    0.178    0.083    0.051    0.065    0.211    0.098    0.274   3
03 53    0.091    0.070    0.136  999.000    0.129    0.141    0.114    0.053    0.053    0.166    0.046    0.206   3
03 54    0.108    0.058    0.168  999.000    0.092    0.116    0.060    0.045    0.073    0.206    0.087    0.188   3
03 55    0.131    0.085    0.234  999.000    0.080    0.089    0.051    0.066    0.084    0.242    0.086    0.203   3
03 56    0.155    0.106    0.216  999.000    0.156    0.122    0.071    0.073    0.101    0.290    0.101    0.196   3
03 57    0.107    0.120    0.147  999.000    0.124    0.128    0.072    0.032    0.065    0.224    0.056    0.189   3
03 58    0.099    0.089    0.112  999.000    0.140    0.145    0.042    0.036    0.060    0.201    0.066    0.314   3
03 59    0.095    0.126    0.119  999.000    0.163    0.132    0.066    0.056    0.050    0.178    0.046    0.317   3
04 00    0.083    0.134    0.088  999.000    0.064    0.125    0.071    0.044    0.048    0.158    0.068    0.210   3
04 01    0.084    0.102    0.094  999.000    0.096    0.217    0.057    0.044    0.044    0.164    0.077    0.203   3
04 02    0.114    0.059    0.123  999.000    0.145    0.150    0.082    0.071    0.069    0.202    0.062    0.101   3
